is_criminal,date,headline,message,message_,link
1,20190812 10:30, 행패 말리지마  광주서 경찰관 폭행 남성들 잇따라 입건,경찰관을 폭행한 남성들이 잇따라 붙잡혔다.    광주 광산경찰서는 12일 카페에서 행패를 부리고 경찰관을 때린 혐의 공무집행방해 등 로 정신질환자 A 46 씨를 입건해 조사한 뒤 병원에 입원 조치했다고 밝혔다.    A씨는 지난 10일 오후 7시15분께 광주 광산구 모 카페에서 10분간 영업을 방해하고  신고를 받고 출동한 경찰관에게 발길질을 한 혐의다.    경찰 조사 결과 양극성 장애가 있는 A씨는 같은 날 오전 알몸으로 거리를 돌아다니다 체포됐으며  풀려난 뒤 이 같은 일을 벌인 것으로 드러났다.    광산경찰서는 지난 10일 낮 12시7분께 광산구 운수동 광산경찰서 1층 본관동 현관에서 경찰관의 뺨을 때린 B 53 씨를 공무집행방해 혐의로 입건했다.    만취한 B씨는 민원실에서 소란을 피웠으며  귀가를 권유하던 경찰관을 갑자기 폭행한 것으로 조사됐다.    광주 북부경찰서도 소란 행위를 제지하던 경찰관의 멱살을 잡고 욕설한 C 36 씨를 같은 혐의로 입건해 조사 중이다.    C씨는 지난 9일 오후 11시50분께 북구 한 안경판매점 앞 의자에 앉아 소란을 피우고 경찰관의 멱살을 잡은 혐의다.    술에 취한 C씨는 행인들에게 시비를 거는 자신의 행위를 말리던 경찰관을 위협하며 욕설을 반복한 것으로 밝혀졌다.    경찰 관계자는  경찰관에게 폭력을 행사하는 등 공권력을 경시하는 행위에 대해서는 엄중히 대응하겠다 고 말했다. ,   광주 광산경찰서는 12일 카페에서 행패를 부리고 경찰관을 때린 혐의 공무집행방해 등 로 정신질환자 A 46 씨를 입건해 조사한 뒤 병원에 입원 조치했다고 밝혔다.    A씨는 지난 10일 오후 7시15분께 광주 광산구 모 카페에서 10분간 영업을 방해하고  신고를 받고 출동한 경찰관에게 발길질을 한 혐의다.    광주 북부경찰서도 소란 행위를 제지하던 경찰관의 멱살을 잡고 욕설한 C 36 씨를 같은 혐의로 입건해 조사 중이다.,/view?id=NISX20190812_0000738293
3,20190812 08:45,금감원 경찰 사칭 보이스피싱 절도 30대 대만인 구속,광주 서부경찰서는 12일 금융감독원 경찰을 사칭해 은행에서 인출  집에 보관하게 한 돈을 훔쳐 달아난 혐의 절도 로 보이스피싱 조직원인 대만 국적 A 36  씨를 구속했다.    A 씨는 지난 7일 광주 서구 동구 아파트 2곳에 침입  냉장고 세탁기에 든 2760만원을 훔쳐 달아난 혐의를 받고 있다.    경찰 조사 결과 A 씨 등 중국에 거점을 둔 전화금융사기 조직원들은 금융감독원 경찰관 등을 사칭   계좌가 금융거래 사기에 연루됐다.    은행에서 돈을 인출  집에 보관하라 고 속인 것으로 드러났다.       일당은 70 80대 고령의 피해자들에게  경찰관이 찾아오면 만나라    주민등록증을 새로 발급받아야 한다 고 꾀어내 외출을 유도한 것으로 조사됐다.     또 피해자들의 집 현관문 비밀번호를 알아낸 뒤 A 씨에게 메신저 앱을 이용해 전달  피해자들이 외출한 사이 범행한 것으로 나타났다.   사흘간 추적을 벌이던 경찰은 폐쇄회로 CC TV영상을 확보  분석해 A 씨의 도주 경로를 추적했다.    이후 A 씨가 서울의 한 지하철역에서 하차한 점을 확인  탐문 수사를 벌여 지난 9일 A 씨를 긴급체포했다.   검거 당시 A 씨는 일당으로부터 또다른 범행 지시를 받아 이동 중이었던 것으로 전해졌다.   경찰은 A 씨의 휴대전화 통신 내역을 토대로 여죄를 조사하는 한편  전화금융사기 일당의 소재를 파악하는 등 수사를 확대하고 있다.      경찰 관계자는  공공 금융 수사기관은 돈을 보관해 준다거나 개인 금융정보를 요구하지 않는다.    피해가 의심될 경우 곧바로 신고해달라 고 당부했다. ,광주 서부경찰서는 12일 금융감독원 경찰을 사칭해 은행에서 인출  집에 보관하게 한 돈을 훔쳐 달아난 혐의 절도 로 보이스피싱 조직원인 대만 국적 A 36  씨를 구속했다.    경찰 조사 결과 A 씨 등 중국에 거점을 둔 전화금융사기 조직원들은 금융감독원 경찰관 등을 사칭   계좌가 금융거래 사기에 연루됐다.   경찰은 A 씨의 휴대전화 통신 내역을 토대로 여죄를 조사하는 한편  전화금융사기 일당의 소재를 파악하는 등 수사를 확대하고 있다.,/view?id=NISX20190812_0000738085
3,20190812 07:37,보이스피싱 피해자 집에서 4000만원 훔친 20대 대만인 구속,보이스피싱에 속아 현금을 인출해 보관 중인 피해자의 집에 침입해 현금을 훔친 20대 대만인이 경찰에 붙잡혔다.   부산 해운대경찰서는 12일 대만인 A 25 씨를 절도 등의 혐의로 구속했다고 밝혔다.   경찰에 따르면 A씨는 지난 1일 오전 11시 30분께 부산 연제구의 한 오피스텔 내 70대 여성 B씨의 집에 침입해 현금 4000만원을 훔쳐서 도주한 혐의를 받고 있다.   A씨는 관광비자로 국내에 입국한 이후 보이스피싱 수금책 역할을 했다고 경찰은 전했다.    경찰을 사칭한 보이스피싱에 속은 B씨는 보이스피싱 조직의 지시대로 계좌에 있는 돈을 인출한 이후 돈을 집에 보관한 뒤 집을 비운 사이 A씨가 돈을 훔쳐서 도주했다고 경찰은 설명했다.   신고를 받은 경찰은 CCTV영상 분석을 통한 도주로 추적을 통해 A씨를 검거하는 한편 공범에 대해 수사 중이다. ,보이스피싱에 속아 현금을 인출해 보관 중인 피해자의 집에 침입해 현금을 훔친 20대 대만인이 경찰에 붙잡혔다.   경찰에 따르면 A씨는 지난 1일 오전 11시 30분께 부산 연제구의 한 오피스텔 내 70대 여성 B씨의 집에 침입해 현금 4000만원을 훔쳐서 도주한 혐의를 받고 있다.    경찰을 사칭한 보이스피싱에 속은 B씨는 보이스피싱 조직의 지시대로 계좌에 있는 돈을 인출한 이후 돈을 집에 보관한 뒤 집을 비운 사이 A씨가 돈을 훔쳐서 도주했다고 경찰은 설명했다.,/view?id=NISX20190812_0000737981
3,20190812 07:35,청소대행업체 일용직으로 일하면서 금품 훔친 30대 구속,부산 연제경찰서는 12일 청소대행업체에서 일용직으로 일하면서 금품을 훔친 A 39 씨를 절도 혐의로 구속했다고 밝혔다.   경찰에 따르면 A씨는 지난 6월 29일 오후 1시 30분께 부산의 한 주점에서 청소를 한 이후 계산대에 있던 간이금고에 보관 중인 현금 202만원을 훔치는 등 2017년 11월부터 총 12차례에 걸쳐 843만원 상당의 금품을 훔친 혐의를 받고 있다.   경찰은 CCTV영상 분석을 통해 청소대행업체에서 일용직으로 일한 A씨의 범행을 확인하고  청소업체에 둔 A씨의 가방에서 휴대전화 5대와 신용카드 2개 등의 절도 피해품을 회수했다고 전했다. ,부산 연제경찰서는 12일 청소대행업체에서 일용직으로 일하면서 금품을 훔친 A 39 씨를 절도 혐의로 구속했다고 밝혔다.   경찰에 따르면 A씨는 지난 6월 29일 오후 1시 30분께 부산의 한 주점에서 청소를 한 이후 계산대에 있던 간이금고에 보관 중인 현금 202만원을 훔치는 등 2017년 11월부터 총 12차례에 걸쳐 843만원 상당의 금품을 훔친 혐의를 받고 있다. 경찰은 CCTV영상 분석을 통해 청소대행업체에서 일용직으로 일한 A씨의 범행을 확인하고  청소업체에 둔 A씨의 가방에서 휴대전화 5대와 신용카드 2개 등의 절도 피해품을 회수했다고 전했다.,/view?id=NISX20190812_0000737988
1,20190811 12:08, 아동 폭행  어린이집 교사 원장 벌금형,어린이집에서 아동을 폭행한 교사와 원장이 벌금형을 선고받았다.    수원지법 평택지원 형사4단독 박소연 판사는 아동복지법 위반 아동학대  혐의로 기소된 어린이집 교사 A 28 씨와 원장 B 41 씨에 대해 각각 벌금 500만원과 200만원을 선고했다고 11일 밝혔다.    A씨는 지난해 5월부터 7월까지 경기 평택의 한 어린이집에서 C 2 양이 물통을 가지고 장난을 친다는 이유로 손바닥으로 엉덩이를 때려 C양이 바닥에 넘어져 입술이 찢어지는 상처를 입게 하는 등 5차례에 걸쳐 신체적 학대행위를 한 혐의로 기소됐다.    B씨는 지난해 6월 C양이 다른 원생을 물었다는 이유로 입 주변을 3차례 때린 혐의를 받는다.    이들은 학대의 고의가 없었고  훈육 행위로서 정당행위에 해당한다고 주장했다.    하지만 박 판사는  사회통념상 인정되는 훈육을 위한 적정한 방법이나 수단의 한계를 넘어선 것으로 피해아동의 신체에 손상을 주거나 신체의 건강과 발달을 해치는 학대행위에 해당한다고 봄이 상당하다 고 판단했다.    박 판사는  피고인들은 어린이집 교사와 운영자로서 유아를 건강하고 정서적으로 안정된 상태에서 자라도록 보호해야 할 지위와 책임이 있음에도 학대행위를 했거나 이를 예방하기 위한 주의와 감독을 다하지 못한 점  피해자 부모로부터 용서받지 못한 점 등에 비춰 보면 그 책임이 가볍지 않다 고 판시했다. ,   수원지법 평택지원 형사4단독 박소연 판사는 아동복지법 위반 아동학대  혐의로 기소된 어린이집 교사 A 28 씨와 원장 B 41 씨에 대해 각각 벌금 500만원과 200만원을 선고했다고 11일 밝혔다.    A씨는 지난해 5월부터 7월까지 경기 평택의 한 어린이집에서 C 2 양이 물통을 가지고 장난을 친다는 이유로 손바닥으로 엉덩이를 때려 C양이 바닥에 넘어져 입술이 찢어지는 상처를 입게 하는 등 5차례에 걸쳐 신체적 학대행위를 한 혐의로 기소됐다. 박 판사는  피고인들은 어린이집 교사와 운영자로서 유아를 건강하고 정서적으로 안정된 상태에서 자라도록 보호해야 할 지위와 책임이 있음에도 학대행위를 했거나 이를 예방하기 위한 주의와 감독을 다하지 못한 점  피해자 부모로부터 용서받지 못한 점 등에 비춰 보면 그 책임이 가볍지 않다 고 판시했다.,/view?id=NISX20190811_0000737746
4,20190809 08:28,대구경찰  금은방 강도 30대 사흘만에 검거,대구의 한 금은방에서 업주를 폭행하고 금품을 훔쳐 달아난 30대가 범행 사흘만에 경찰에 붙잡혔다.   대구 북부경찰서는 금은방에서 업주를 폭행하고 귀금속을 훔쳐 달아난 혐의 강도 로 A 34 씨를 붙잡아 조사하고 있다고 9일 밝혔다.   A씨는 지난 6일 오전 11시9분께 대구시 북구의 한 금은방에서 업주 B 66 씨를 폭행하고 금목걸이  금팔찌 등 귀금속 60여점 시가 6000여만원 상당을 훔쳐 달아난 혐의를 받고 있다.   A씨는 9일 오전 0시35분께 경북 영주시의 한 모텔에서 검거됐다.   경찰은 현장 주변 폐쇄회로 CC TV 등을 분석해 범인의 도주 경로를 확인  일대를 수색하던 중 A씨를 체포했다.   경찰 관계자는  구체적 범행동기  여죄 등에 대한 조사를 마치는 대로 구속영장을 신청할 예정 이라고 말했다. ,대구의 한 금은방에서 업주를 폭행하고 금품을 훔쳐 달아난 30대가 범행 사흘만에 경찰에 붙잡혔다.   대구 북부경찰서는 금은방에서 업주를 폭행하고 귀금속을 훔쳐 달아난 혐의 강도 로 A 34 씨를 붙잡아 조사하고 있다고 9일 밝혔다.   A씨는 지난 6일 오전 11시9분께 대구시 북구의 한 금은방에서 업주 B 66 씨를 폭행하고 금목걸이  금팔찌 등 귀금속 60여점 시가 6000여만원 상당을 훔쳐 달아난 혐의를 받고 있다.,/view?id=NISX20190807_0000734450
1,20190809 07:34,2개월 넘게 호텔 투숙하고 숙박비 내지 않은 40대 조폭 구속,부산 중부경찰서는 2개월 넘게 호텔에 투숙하며 숙박비를 내지 않은 조직폭력배 A 40 씨를 폭력행위 등 처벌에 관한 법률 위반 혐의로 구속했다고 9일 밝혔다.   경찰에 따르면 A씨는 지난 5월 14일부터 8월 1일까지 부산의 한 호텔에 투숙하면서 850만원 상당의 숙박비를 내지 않은 혐의를 받고 있다.   A씨는 호텔 측이 숙박비 납부를 독촉하자 문신을 보이고 조폭임을 과시하며 겁을 줬다고 경찰은 전했다. ,부산 중부경찰서는 2개월 넘게 호텔에 투숙하며 숙박비를 내지 않은 조직폭력배 A 40 씨를 폭력행위 등 처벌에 관한 법률 위반 혐의로 구속했다고 9일 밝혔다.   경찰에 따르면 A씨는 지난 5월 14일부터 8월 1일까지 부산의 한 호텔에 투숙하면서 850만원 상당의 숙박비를 내지 않은 혐의를 받고 있다. A씨는 호텔 측이 숙박비 납부를 독촉하자 문신을 보이고 조폭임을 과시하며 겁을 줬다고 경찰은 전했다.,/view?id=NISX20190809_0000736332
3,20190809 07:24,승용차 훔쳐 창원서 부산까지 무면허 운전 10대 2명 검거,부산 남부경찰서는 9일 창원에서 승용차를 훔쳐 부산까지 무면허로 운전을 한 A 18 여 양을 특수절도 혐의로 구속하고  친구 B 18 여 양을 불구속 입건했다고 밝혔다.   경찰에 따르면 A양 등은 지난 7월 26일 오전 4시께 경남 창원시 의창구의 한 주차장에서 문이 잠기지 않은 승용차 시가 600만원 상당 를 훔쳐 타고 부산 남구 대연동까지 약 57㎞ 상당을 무면허로 운전한 혐의를 받고 있다.   불법주차 신고를 받은 경찰은 차주와의 전화통화를 통해 차량이 도난 당한 사실을 확인  추적을 통해 모텔에 있던 A양 등을 검거했다. ,부산 남부경찰서는 9일 창원에서 승용차를 훔쳐 부산까지 무면허로 운전을 한 A 18 여 양을 특수절도 혐의로 구속하고  친구 B 18 여 양을 불구속 입건했다고 밝혔다.   경찰에 따르면 A양 등은 지난 7월 26일 오전 4시께 경남 창원시 의창구의 한 주차장에서 문이 잠기지 않은 승용차 시가 600만원 상당 를 훔쳐 타고 부산 남구 대연동까지 약 57㎞ 상당을 무면허로 운전한 혐의를 받고 있다. 불법주차 신고를 받은 경찰은 차주와의 전화통화를 통해 차량이 도난 당한 사실을 확인  추적을 통해 모텔에 있던 A양 등을 검거했다.,/view?id=NISX20190809_0000736316
3,20190809 07:24,취객 금품 훔치던 60대  귀가하던 형사에게 발각 체포,거리에서 잠이 든 취객에게 접근해 금품을 훔치던 60대 남성이 귀가하던 경찰에게 발각돼 현장에서 붙잡혔다.   부산 동래경찰서는 9일 A 64 씨를 절도 혐의로 붙잡아 조사 중이라고 밝혔다.   경찰에 따르면 A씨는 지난 8일 오후 11시 4분께 부산 사상구의 한 거리에서 술에 취해 자고 있던 50대 취객 B씨에게 접근해 현금 1만6000원이 들어 있던 지갑을 훔친 혐의를 받고 있다.   A씨 범행 당시 동래경찰서 형사과 소속 임모 경장이 업무 후 귀가하다 현장을 목격  차량을 세우고 달려가 A씨를 제압해 현행범으로 체포했다.   경찰은 A씨에 대해 구속영장을 신청할 예정이다. ,거리에서 잠이 든 취객에게 접근해 금품을 훔치던 60대 남성이 귀가하던 경찰에게 발각돼 현장에서 붙잡혔다.   부산 동래경찰서는 9일 A 64 씨를 절도 혐의로 붙잡아 조사 중이라고 밝혔다.   경찰에 따르면 A씨는 지난 8일 오후 11시 4분께 부산 사상구의 한 거리에서 술에 취해 자고 있던 50대 취객 B씨에게 접근해 현금 1만6000원이 들어 있던 지갑을 훔친 혐의를 받고 있다.,/view?id=NISX20190809_0000736325
1,20190808 21:22,혼외 성관계 폭로 공갈로 수천만원 뜯은  남편  역할 추가 구속,혼외 성관계를 꾸민 뒤 이를 빌미로 협박을 일삼아 수천만원대 퇴직금을 가로챈 일당 중 1명이 추가로 검거  구속됐다.   광주 서부경찰서는 8일 혼외 성관계 사실을 알리겠다며 협박해 돈을 뜯어낸 혐의 폭력행위 등 처벌에 관한 법률 위반 상 공동감금 공동공갈 로 A 47  씨를 구속했다고 밝혔다.    앞서 경찰은 지난달 1일 A 씨와 함께 범행을 벌인 B 55  씨와 C 29 여  씨  D 53 씨 등 3명을 구속했다.   이들은 지난 6월19일 오후 4시55분께 광주 서구 한 숙박업소 객실에서 E 59  씨를 1시간15분간 감금하고  C 씨와 성관계를 한 사실을 가족들에게 알리겠다 고 협박해 6000만원을 뜯어낸 혐의다.     조사 결과 A 씨는 C 씨 남편을 가장해 범행 당일 C E 씨가 묵고 있던 숙박업소 객실을 급습한 뒤  E씨를 상대로  이 사실을 모두 당신 가족들에게 알리겠다.    가만 두지 않겠다 며 수차례 폭행하고 협박한 것으로 확인됐다.   총책 역할을 맡은 B 씨는 범행을 계획하고 일당을 모집한 뒤 최근 정년퇴임을 한 E 씨의 퇴직금을 노리고 고의로 접근  이같은 일을 꾸민 것으로 드러났다.      D 씨는 지난달 10일 지인인 E 씨에게 C 씨를 소개시켜 줬으며  범행 이틀 전 E 씨가 C 씨와 한 차례 성관계를 맺도록 도운 것으로 조사됐다.    이들은 지난 4월 말부터 2주가량 합숙을 하며  각각  내연녀    내연녀 남편    해결사  등 역할을 나눈 것으로 전해졌다.     해결사  역할을 맡은 D 씨는 E 씨에 합의를 중재하는 척 접근  현금 6000만 원을 받아낸 것으로 나타났다.    이들은 맡은 역할에 따라 가로챈 돈을 1000만 2500만 원씩 나눠 분배했으며  수사를 따돌리기 위해 다른 사람의 명의로 개통한 휴대전화를 이용했다고 경찰은 설명했다.   수사에 나선 경찰은 탐문 수사 등을 벌여 지난달 23일부터 25일까지 서울 부천 광주에서 차례로 이들을 검거했다.   남편 역할을 맡은 A 씨는 B 씨 등이 경찰에 붙잡히자  추적을 피해 야산 찜질방 등지를 전전하며 한달여 간 도피행각을 벌이다  건강이 악화돼 경찰에 지난 1일 자수했다.   경찰은 A 씨에 대해 구속영장을 신청  지난 7일 법원으로부터 영장을 발부받았다. ,   앞서 경찰은 지난달 1일 A 씨와 함께 범행을 벌인 B 55  씨와 C 29 여  씨  D 53 씨 등 3명을 구속했다.   이들은 지난 6월19일 오후 4시55분께 광주 서구 한 숙박업소 객실에서 E 59  씨를 1시간15분간 감금하고  C 씨와 성관계를 한 사실을 가족들에게 알리겠다 고 협박해 6000만원을 뜯어낸 혐의다.      D 씨는 지난달 10일 지인인 E 씨에게 C 씨를 소개시켜 줬으며  범행 이틀 전 E 씨가 C 씨와 한 차례 성관계를 맺도록 도운 것으로 조사됐다.,/view?id=NISX20190808_0000736244
